"id","firstName","lastName","adp","projectedPoints","slotName","teamName","lineupStatus","byeWeek"
"0274af0f-be94-4e8e-a3b5-288a4cb3d2ab","JuJu","Smith-Schuster","79.0","139.4","WR","Pittsburgh Steelers",,
"2e3dd7dc-d67e-4e3c-822e-c6d3fdf4a4f8","DeVonta","Smith","80.0","154.7","WR","Philadelphia Eagles",,
"a5da55f2-db18-4855-ae9b-83e3e126ca03","Jalen","Hurts","80.8","320.3","QB","Philadelphia Eagles",,
"3af45b40-7114-4add-b09d-039d7151366f","Jerry","Jeudy","81.6","146.6","WR","Denver Broncos",,
"39437c6a-f973-47f9-b62a-00a07aeb926d","Damien","Harris","84.1","162.2","RB","New England Patriots",,
"7a2d60e5-2357-407d-9f40-32a78c1e0c99","Dallas","Goedert","84.3","127.9","TE","Philadelphia Eagles",,
"a689e9ea-4080-46a0-a5a1-36cbb54df10f","Curtis","Samuel","86.0","175.2","WR","Washington Football Team",,
"5047e897-fbda-4621-b190-d560ee677114","Michael","Gallup","89.7","166.5","WR","Dallas Cowboys",,
"6e2ad5f8-4a54-419f-a54c-408663bb2ded","Michael","Carter","89.7","146.9","RB","NY Jets",,
"88befd90-e162-4570-a083-16c4908743a6","Melvin","Gordon","91.0","145.8","RB","Denver Broncos",,
"5cde7aea-f9ae-407b-b90c-685ec16f5c3e","Jarvis","Landry","91.3","160.9","WR","Cleveland Browns",,
"6a188950-2656-4aa6-95fe-1a725ecfaccb","Brandin","Cooks","91.3","169.0","WR","Houston Texans",,
"0c453993-12a1-4019-ac33-b56206e18271","Joe","Burrow","91.8","295.7","QB","Cincinnati Bengals",,
"52b3e3f7-5732-4e22-9e6f-5ba8e8ecfadf","Leonard","Fournette","93.3","120.0","RB","Tampa Bay Buccaneers",,
"e849512a-30ae-4de1-b705-177056ca3f9d","Tyler","Higbee","93.8","122.0","TE","Los Angeles Rams",,
"dafcd557-143c-4644-ab5e-ea2eef35611d","Noah","Fant","93.8","117.5","TE","Denver Broncos",,
"fcf76717-bde4-46bd-8371-870bdddf5b7d","Jaylen","Waddle","95.6","118.1","WR","Miami Dolphins",,
"d7c779ea-3dfb-42fa-add0-3fbf8a7d53af","Zack","Moss","96.2","158.2","RB","Buffalo Bills",,
"2270fcf3-9974-4e73-8834-56d8b117e171","Ronald","Jones","97.9","151.4","RB","Tampa Bay Buccaneers",,
"29698c73-8f0f-4b5e-93bf-93aff9671dff","Laviska","Shenault","98.3","136.1","WR","Jacksonville Jaguars",,
"fc279b8e-cc78-4d47-8dc9-8ea9257e66db","Marquise","Brown","98.5","124.6","WR","Baltimore Ravens",,
"3c7c3ad9-3224-42f6-8dc1-e8b348452438","Aaron","Rodgers","98.7","272.8","QB","Green Bay Packers",,
"3e20d7a1-ae60-4dc3-a02a-9dfed27a788b","Tony","Pollard","99.3","113.8","RB","Dallas Cowboys",,
"05833ac2-6a8b-4b02-8467-1c2faaa4c251","Matthew","Stafford","101.0","301.4","QB","Los Angeles Rams",,
"084e69f7-0dab-4815-b7bb-96fcf72b5bea","Tom","Brady","102.8","305.7","QB","Tampa Bay Buccaneers",,
