Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2294282767,nba,2020/12/30,$1K NBA Small Shot,$60k,348.50,,6,396,Tournament,3,30.00,https://www.fanduel.com/entry/DWKRIVRCQ,
S2294282760,nba,2020/12/30,$1K NBA Small Shot,$60k,351.30,,4,396,Tournament,3,40.00,https://www.fanduel.com/entry/CUBUNGJMU,
S2294274653,nba,2020/12/30,$1K NBA Small Shot,$60k,353.30,,1,396,Tournament,3,100.00,https://www.fanduel.com/entry/DOKDFJCQQ,
S2292008611,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,330.90,,1795,10725,Tournament,2.22,4.00,https://www.fanduel.com/entry/DTTDNSVEX,
S2292008606,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,304.70,,5112,10725,Tournament,2.22,0,https://www.fanduel.com/entry/DRBQCJNPR,
S2292008601,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,297.60,,6156,10725,Tournament,2.22,0,https://www.fanduel.com/entry/DSDLBSLLJ,
S2292008596,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,326.80,,2187,10725,Tournament,2.22,4.00,https://www.fanduel.com/entry/DXMLYLAPV,
S2292008592,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,300.90,,5667,10725,Tournament,2.22,0,https://www.fanduel.com/entry/DYOGXTYLN,
S2292008588,nba,2020/12/29,$20K Tue NBA Pick 'n Roll ($2K to 1st),$60k,321.20,,2981,10725,Tournament,2.22,0,https://www.fanduel.com/entry/DUUYNBTAP,
S2290134360,nba,2020/12/28,$7K Mon NBA Swat (3 Entries Max),$60k,326.70,,3246,8333,Tournament,1,0,https://www.fanduel.com/entry/FBLARZHBC,
S2290123632,nba,2020/12/28,$7K Mon NBA Swat (3 Entries Max),$60k,352.80,,989,8333,Tournament,1,2.50,https://www.fanduel.com/entry/CVRMHMJTO,
S2290120169,nba,2020/12/28,$7K Mon NBA Swat (3 Entries Max),$60k,350.50,,1145,8333,Tournament,1,2.00,https://www.fanduel.com/entry/BHOSQNWYA,
S2288340831,nba,2020/12/27,$400K Sun NBA Clutch Shot ($100K to 1st),$60k,319.50,,36265,119047,Tournament,4,0,https://www.fanduel.com/entry/ADQDUDBLR,
