Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1207819932,nba,2017/04/26,NBA Fantasy Playoffs presented by Bud Light ,$60k,239.10,,38110,51782,Tournament,0,0,https://www.fanduel.com/entry/BGXHNFLZW,
S1207818898,nba,2017/04/26,$250 NBA Mini Dribbler (Single Entry),$60k,239.10,,228,294,Tournament,1,0,https://www.fanduel.com/entry/EPNQMSJIA,
S1207808568,nba,2017/04/26,$20K Wed NBA Dribbler (Single Entry),$60k,266.60,,5106,23529,Tournament,1,0,https://www.fanduel.com/entry/EVKPGSILW,
S1207316595,mlb,2017/04/25,$250 MLB Mini Sac Fly,$35k,182.40,,26,294,Tournament,1,3.00,https://www.fanduel.com/entry/BUGWKOASI,
S1207173083,mlb,2017/04/25,50/50 Contest ($1 - Top 50% Win) (Main),$35k,101.90,,95,100,Tournament,1,0,https://www.fanduel.com/entry/EPNQHODGG,
S1207151386,nba,2017/04/25,$250 NBA Mini Dribbler (Single Entry),$60k,276.70,,57,294,Tournament,1,2.50,https://www.fanduel.com/entry/BSRESEMRE,
S1207150795,nba,2017/04/25,NBA Fantasy Playoffs presented by Bud Light ,$60k,260.90,,18664,59040,Tournament,0,0,https://www.fanduel.com/entry/AAHFGHSPI,
S1207150520,mlb,2017/04/25,$250 MLB Mini Sac Fly,$35k,118.10,,191,294,Tournament,1,0,https://www.fanduel.com/entry/EYQAGEJLM,
S1207114045,nba,2017/04/25,Buzzer Beater $5_000 NBA Free Play,$60k,260.90,,24520,122445,Tournament,0,0,https://www.fanduel.com/entry/ENXXRJQAX,
S1207064216,mlb,2017/04/25,$13K Tue MLB Bunt (Single Entry) ,$35k,166.50,,2441,15294,Tournament,1,2.00,https://www.fanduel.com/entry/EGZFKTMRN,
S1206996177,nba,2017/04/25,$22K Tue NBA Dribbler (Single Entry),$60k,260.90,,9215,25882,Tournament,1,0,https://www.fanduel.com/entry/BWYLCWYAY,
S1206700204,mlb,2017/04/24,$250 MLB Mini Sac Fly,$35k,83.80,,258,294,Tournament,1,0,https://www.fanduel.com/entry/DAWZSKUDH,
S1206437242,mlb,2017/04/24,$250 MLB Mini Sac Fly,$35k,105.80,,188,294,Tournament,1,0,https://www.fanduel.com/entry/CPRAMXBQV,
S1206432501,mlb,2017/04/24,MLB tournament,$35k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/BPZRFGERH, voided
S1206425600,mlb,2017/04/24,MLB tournament,$35k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/CMLPRAGIZ, voided
S1206412256,mlb,2017/04/24,$250 MLB Mini Bunt,$35k,108.20,,178,294,Tournament,1,0,https://www.fanduel.com/entry/DQYCSTGWF,
S1206374378,nba,2017/04/24,NBA Fantasy Playoffs presented by Bud Light ,$60k,273,,18293,53144,Tournament,0,0,https://www.fanduel.com/entry/CZHHFRTQO,
