Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1824003067,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,134.66,,5979,28742,Tournament,0.25,0.50,https://www.fanduel.com/entry/ESKFDHACK,
S1824002539,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,120.56,,12449,28742,Tournament,0.25,0,https://www.fanduel.com/entry/EBHHNJDXM,
S1824000947,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,111.32,,17326,28742,Tournament,0.25,0,https://www.fanduel.com/entry/EYVBAEWUG,
S1824000171,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,134.14,,6178,28742,Tournament,0.25,0.50,https://www.fanduel.com/entry/CBYOUILIK,
S1823999114,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,124.82,,10284,28742,Tournament,0.25,0,https://www.fanduel.com/entry/APLNNZAUG,
S1823999046,nfl,2019/10/13,$6K Sun NFL Super Hail Mary (Only $0.25 to Enter),$60k,124.82,,10284,28742,Tournament,0.25,0,https://www.fanduel.com/entry/ALSFDOHGO,
S1821943344,nfl,2019/10/07,$40K Mon NFL Hail Mary (Only $0.25 to Enter),$60k,57.64,,55839,186373,Tournament,0.25,0,https://www.fanduel.com/entry/AVWJYQWFL,
S1819999968,nfl,2019/10/06,50/50 Contest ($1 - Top 50% Win) (Main),$60k,157.94,,49,100,Tournament,1,1.80,https://www.fanduel.com/entry/DXABUOUTN,
S1819970561,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,202.52,,9002,383233,Tournament,0.25,1.00,https://www.fanduel.com/entry/FCOKAGBKD,
S1819958221,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,147.22,,143768,383233,Tournament,0.25,0,https://www.fanduel.com/entry/FCOKLSJDJ,
S1819941207,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,137.92,,191589,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DJCOZVDDS,
S1819923524,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,117.86,,292702,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AYNXJABFO,
S1819916130,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,153.26,,114563,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EAFNCYALG,
S1819906750,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,127.98,,244186,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EKXOXJHKM,
S1819898628,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,151.24,,123836,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ENPCRMATG,
S1819473663,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,111,,320589,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BCVDBBTNN,
S1819469733,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,122.10,,273422,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CECEVEFCL,
